Version CSV1|Tool SE|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint comma|Precision 3;;;;;;
;;;;;;
;STP 25000TL-30 168;STP 25000TL-30 168;STP 25000TL-30 276;STP 25000TL-30 276;STP 25000TL-30 848;STP 25000TL-30 848
;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30
;1900744168;1900744168;1900755276;1900755276;1900744848;1900744848
;Rendimento total;Rendimento diário;Rendimento total;Rendimento diário;Rendimento total;Rendimento diário
;Counter;Analog;Counter;Analog;Counter;Analog
dd/MM/yyyy;kWh;kWh;kWh;kWh;kWh;kWh
01/12/2016;15570,6;0;15617,615;0;15781,834;0
02/12/2016;15570,6;0;15617,615;0;15781,834;0
03/12/2016;15570,6;0;15617,615;0;15781,834;0
04/12/2016;15570,6;0;15617,615;0;15781,834;0
05/12/2016;15570,6;0;15617,615;0;15781,834;0
06/12/2016;15570,6;0;15617,615;0;15781,834;0
07/12/2016;15570,6;0;15617,615;0;15781,834;0
08/12/2016;15570,6;0;15617,615;0;15781,834;0
09/12/2016;15570,6;0;15617,615;0;15781,834;0
10/12/2016;15570,6;0;15617,615;0;15781,834;0
11/12/2016;15570,6;0;15617,615;0;15781,834;0
12/12/2016;15570,6;0;15617,615;0;15781,834;0
13/12/2016;15570,6;0;15617,615;0;15781,834;0
14/12/2016;15570,6;0;15617,615;0;15781,834;0
15/12/2016;15570,6;0;15617,615;0;15781,834;0
16/12/2016;15570,6;0;15617,615;0;15781,834;0
17/12/2016;15570,6;0;15617,615;0;15781,834;0
18/12/2016;15570,6;0;15617,615;0;15781,834;0
19/12/2016;15570,6;0;15617,615;0;15781,834;0
20/12/2016;15570,6;0;15617,615;0;15781,834;0
21/12/2016;15570,6;0;15617,615;0;15781,834;0
22/12/2016;15570,6;0;15617,615;0;15781,834;0
23/12/2016;15570,6;0;15617,615;0;15781,834;0
24/12/2016;15570,6;0;15617,615;0;15781,834;0
25/12/2016;15570,6;0;15617,615;0;15781,834;0
26/12/2016;15570,6;0;15617,615;0;15781,834;0
27/12/2016;15570,6;0;15617,615;0;15781,834;0
28/12/2016;15570,6;0;15617,615;0;15781,834;0
29/12/2016;15570,6;0;15617,615;0;15781,834;0
30/12/2016;15570,6;0;15617,615;0;15781,834;0
31/12/2016;15570,6;0;15617,615;0;15781,834;0
