Version CSV1|Tool SE|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint comma|Precision 3;;;;;;;;;;
;;;;;;;;;;
;STP 25000TL-30 168;STP 25000TL-30 168;STP 25000TL-30 276;STP 25000TL-30 276;STP 25000TL-30 164;STP 25000TL-30 164;;;;
;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;;;;
;1900744168;1900744168;1900755276;1900755276;1901250164;1901250164;;;;
;Rendimento total;Rendimento diário;Rendimento total;Rendimento diário;Rendimento total;Rendimento diário;;;;
;Counter;Analog;Counter;Analog;Counter;Analog;;;;
dd/MM/yyyy;kWh;kWh;kWh;kWh;kWh;kWh;;;;
01/08/2019;4294967,279;0,048;4294967,23;---;---;---;;;;
02/08/2019;4294967,251;---;4294967,279;0,049;---;---;;;;
03/08/2019;4294967,045;---;4294967,252;---;---;---;;;;
04/08/2019;4294967,197;0,152;4294967,266;0,014;---;---;;;;
05/08/2019;4294967,124;---;4294967,042;---;---;---;;;;
06/08/2019;4294967,086;---;4294967,152;0,11;---;---;;;;
07/08/2019;4294967,157;0,071;4294967,064;---;---;---;;;;
08/08/2019;4294967,066;---;4294967,151;0,087;---;---;;;;
09/08/2019;4294967,127;0,061;4294967,226;0,075;---;---;;;;
10/08/2019;4294967,057;---;4294967,114;---;---;---;;;;
11/08/2019;4294967,19;0,133;4294967,138;0,024;---;---;;;;
12/08/2019;4294967,044;---;4294967,261;0,123;---;---;;;;
13/08/2019;4294967,1;0,056;4294967,084;---;---;---;;;;
14/08/2019;4294967,1;0;4294967,084;0;---;---;;;;
15/08/2019;4294967,202;0,102;---;---;---;---;;;;
16/08/2019;4294967,04;---;4294967,051;---;---;---;;;;
17/08/2019;4294967,16;0,12;4294967,062;0,011;---;---;;;;
18/08/2019;4294967,097;---;4294967,162;0,1;---;---;;;;
19/08/2019;4294967,191;0,094;4294967,285;0,123;---;---;;;;
20/08/2019;4294967,243;0,052;4294967,222;---;---;---;;;;
21/08/2019;4294967,065;---;4294967,11;---;0,146;---;;;;
22/08/2019;4294967,273;0,208;4294967,121;0,011;0,241;0,095;;;;
23/08/2019;4294967,184;---;4294967,171;0,05;37,75;37,509;;;;
24/08/2019;4294967,057;---;4294967,247;0,076;141,83;104,08;;;;
25/08/2019;4294967,143;0,086;4294967,144;---;269,2;127,37;;;;
26/08/2019;4294967,259;0,116;4294967,041;---;309,944;40,744;;;;
27/08/2019;141068,763;---;141940,225;---;339,089;29,145;;;;
28/08/2019;141090,675;21,912;141966,302;26,077;340,941;1,852;;;;
29/08/2019;141116,982;26,307;141992,962;26,66;434,343;93,402;;;;
30/08/2019;141154,701;37,719;142005,09;12,128;468,939;34,596;;;;
31/08/2019;141277,818;123,117;142005,09;0;468,939;0;;;;
